229,Um Suqaim,25.16362,55.21454
230,Abu Hail,25.28508482,55.3299734
231,Al Mamzer,25.31710909,55.34787801
232,Mirdif,25.22331903,55.42166405
233,Hor Al Anz,25.27679861,55.33663024
234,Hor Al Anz East,25.28297583,55.34669552
235,Eyal Nasser,25.27414,55.303948
236,Burj Nahar,25.2753191,55.3116335
237,Al Sabkha,25.26894149,55.30238049
238,Al Dhagaya,25.2713353,55.29908267
239,Al Baraha,25.27990011,55.31628507
240,Port Saeed,25.24449134,55.33247631
241,Al Qusais,25.278,55.372
242,Al Ras,25.26770938,55.29510819
243,Al-Safiyyah,25.2768247,55.3381093
244,Al Murqabat,25.26602253,55.32333973
245,Al-Murar Qadeem,25.2764666,55.3092444
246,Al-Murar Jadeed,25.2785892,55.3116076
247,Al Khabeesi,25.26938697,55.33825218
248,Um Ramool,25.22965264,55.36771631
249,Al Muteena,25.27390336,55.32325227
250,Al-Souq Al Kabeer (Deira),25.26216,55.29436
251,Naif South,25.272266,55.311394
252,Al-Riqqa East,25.26325,55.31994
253,Al-Riqqa West,25.26325,55.31994
254,Al Buteen,25.2692029,55.29860141
255,Rega Al Buteen,25.25944987,55.31737608
256,Al-Tawar,25.27155,55.36388
257,Al Khawaneej,25.2296572,55.5147766
258,Muhaisna,25.2464,55.41847
259,Al-Musalla (Deira),25.2741227,55.3061518
262,Al-Zarouniyyah,25.1801961,55.1948832
263,Al-Nahdah,25.29398,55.37204
264,Nad Al Hamar,25.20191882,55.38446945
265,Al-Muhaisnah North,25.2688888,55.3884821
266,Al Satwa,25.21992155,55.2742099
267,Al Raffa,25.25565524,55.28814325
268,Al Musalla (Dubai),25.2628683,55.2994664
269,Al Hamriya,25.26363256,55.30588646
270,Al Safaa,25.17046,55.23273
271,Al Karama,25.2449968,55.30454739
272,Al Baharna,25.25634,55.28923
273,Al-Baloosh,25.25611111,55.29138889
274,Shandagha East,25.267027,55.2893391
275,Shandagha West,25.267027,55.2893391
276,Al Bada,25.22531148,55.26867528
277,Al Qoaz,25.13083,55.23273
278,Mankhool,25.24818631,55.29367745
279,Tawaa Al Sayegh,25.25113,55.2961
280,Zareeba Duviya,25.25479,55.29937
281,Al Asbaq
282,Ras Al Khor,25.19762136,55.32838456
283,Al Fahidi,25.2634052,55.2886721
284,Jabal Ali,25.01126,55.06116
285,Nad Al Shiba,25.1451203,55.3392738
288,Al Marmoom,24.98002861,55.43791105
292,Al Barsha,25.1019815,55.2027655
294,Lehbab,25.0442936,55.5913756
295,Margham,24.93875206,55.56458162
296,Al Ruwayyah,25.0892985,55.3955555
297,Al Warqa First,25.18885432,55.40632897
298,Al Warqa Third,25.19288494,55.42091217
299,Al Warqa Fourth,25.19072164,55.44018296
300,Al Rashidiya,25.2234238,55.3915625
301,Al Nahda Second,25.29118713,55.37837195
302,Tawi Al Muraqqab,24.82029,55.58435
303,Um Suqaim First,25.16754718,55.21195292
304,Um Suqaim Second,25.15387781,55.19248178
305,Al Qusais First,25.27816645,55.37222283
306,Al Twar Fourth,25.26171489,55.40048216
307,Acacia Avenues / Sufouh Gardens,25.12303578,55.1792713
308,Al Goze Industrial First
309,Al Goze Industrial Third,25.12781676006894,55.22020512872073
310,Al Twar Second,25.2608555,55.38249009
311,Muhaisanah Third,25.27199581,55.40397173
312,Muhaisanah First,25.24457265,55.42065575
313,Al Saffa First,25.17576726,55.23830586
314,Al Saffa Second,25.15988772,55.22589937
315,Al Manara,25.1439176,55.21423946
316,Al Mizhar First,25.2492157,55.43985371
317,Jumeirah First,25.2249316,55.2584809
318,Jumeirah Third,25.1652986,55.2117584
319,Ras Al Khor Industrial Second,25.17746045,55.35760946
320,Al Qusais Industrial Second,25.28140015,55.39369209
321,Al Qusais Industrial Third,25.29716815,55.38879226
322,Al Qusais Industrial Fourth,25.29346782,55.40008641
323,Al Qusais Industrial Fifth,25.28654219,55.41438004
324,Shandagha,25.2670367978247,55.28911535588852
325,Um Hurair First,25.25809074,55.31157297
326,Um Hurair Second,25.23840744,55.32760641
